macroarea,anno,inverno_0_49,inverno_50_64,inverno_65_79,inverno_80_plus,primavera_0_49,primavera_50_64,primavera_65_79,primavera_80_plus,estate_0_49,estate_50_64,estate_65_79,estate_80_plus,autunno_0_49,autunno_50_64,autunno_65_79,autunno_80_plus
centro,2015,1076,2760,9019,24116,952,2583,8499,22073,1019,2408,7858,20294,908,2450,7681,19059
isole,2015,647,1670,5204,12124,653,1583,4942,11147,636,1517,4507,9544,599,1550,4270,9052
nord,2015,2252,6139,21257,55064,2156,5774,19504,48691,2228,5548,18536,45856,2041,5473,18248,44109
sud,2015,1345,3560,10677,24289,1344,3299,9792,21974,1340,3098,9048,20171,1263,3034,9104,18957
centro,2016,890,2502,8292,22249,951,2516,8336,21120,983,2341,7350,18453,930,2420,7644,19912
isole,2016,619,1636,4870,11233,586,1508,4810,10411,658,1425,4147,8894,572,1498,4330,8935
nord,2016,2008,5637,19579,50678,2072,5505,18980,46530,2106,5330,17485,42004,1975,5375,17988,44803
sud,2016,1325,3282,9905,22792,1248,3206,9367,20464,1217,2997,8356,17799,1229,3039,8778,19181
centro,2017,890,2601,9079,26017,961,2465,8153,21195,882,2382,7418,20407,916,2413,7859,20072
isole,2017,571,1650,5279,13074,587,1500,4822,10829,666,1467,4528,10245,581,1498,4500,9334
nord,2017,1942,5927,20792,58628,1997,5464,19035,48247,2087,5266,17456,42917,1942,5409,17948,45881
sud,2017,1247,3461,10672,26227,1246,3297,9500,21383,1326,2976,8860,20257,1159,3197,9032,19442
centro,2018,899,2667,8380,23762,883,2363,7805,21355,837,2320,7104,19000,815,2333,7458,20003
isole,2018,630,1793,5221,12112,604,1585,4693,10728,569,1428,4177,9130,535,1396,4211,9448
nord,2018,2124,6063,20372,55999,2014,5666,18544,48841,1989,5399,17093,44251,1891,5443,17746,46494
sud,2018,1284,3513,10262,24330,1271,3264,9205,21027,1217,2939,8144,18171,1194,3001,8727,19411
centro,2019,844,2641,8208,23766,828,2506,7766,21563,854,2339,7252,20442,695,2301,6970,19203
isole,2019,542,1661,5104,12529,555,1567,4765,11162,581,1469,4326,9990,518,1364,4170,9105
nord,2019,1954,5787,19562,56144,1859,5483,17749,48775,2022,5468,17128,46101,1770,5419,17104,46561
sud,2019,1240,3556,10388,24478,1138,3046,9059,21763,1138,3026,8452,20111,983,2890,8021,18656
centro,2020,790,2645,8737,25087,793,2582,8466,23449,795,2367,7446,20819,826,2781,8754,24889
isole,2020,614,1752,5422,12777,502,1557,4749,11407,509,1553,4263,10241,524,1831,5210,11481
nord,2020,1900,6292,21638,62727,1984,7655,29602,79994,1822,5396,16786,46743,1860,6221,21761,61571
sud,2020,1185,3846,10862,25587,1087,3366,9669,22676,1123,3177,8571,20549,1117,3770,10929,23233
centro,2021,806,2876,9362,26421,851,3038,9439,24073,860,2505,7700,22026,809,2442,7508,21946
isole,2021,582,1834,5698,13578,555,1789,5194,11568,579,1787,4957,11995,533,1743,4667,10358
nord,2021,1861,6531,21845,62822,1862,6518,22341,54458,1860,5439,16954,46597,1845,5516,17379,50180
sud,2021,1151,3875,11429,26340,1215,4187,12431,24583,1212,3469,9315,23314,1157,3363,9243,20975
centro,2022,819,2720,9002,27688,809,2580,8260,24306,762,2611,7945,24467,688,2444,7499,21834
isole,2022,591,1939,6197,14823,545,1736,5238,12754,569,1698,5066,12309,482,1488,4467,10117
nord,2022,1828,6229,21596,64862,1753,5733,18171,52915,1934,5902,18473,55396,1751,5705,18185,52927
sud,2022,1184,3791,11499,28009,1146,3484,10335,24995,1182,3325,9909,23702,1078,3242,9278,21105
centro,2023,826,2885,9033,26823,760,2534,7685,22116,774,2495,7522,21665,716,2361,7533,21307
isole,2023,565,1816,5766,14021,507,1603,4828,11284,613,1700,5035,11358,509,1566,4641,9740
nord,2023,1779,6196,19935,60897,1779,5391,17293,49857,1787,5501,16502,45897,1701,5573,17341,50306
sud,2023,1245,3747,11475,27728,1092,3404,9803,22518,1162,3344,9640,21944,997,3171,9208,20265
centro,2024,757,2682,8339,24525,773,2390,7445,21046,780,2440,7483,22271,744,2467,7501,22026
isole,2024,505,1791,5417,12637,526,1528,4792,10336,504,1591,4580,10556,510,1496,4523,9977
nord,2024,1687,5741,18579,56795,1597,5328,16559,48088,1757,5390,16416,48600,1550,5462,17525,52539
sud,2024,1048,3465,10804,24777,995,3291,9114,20802,1122,3229,9536,22089,1039,3162,9230,20855
